latitude,longitude,spatial_ref,X5_mean_summer_temp
18.25,109.5,0,28.061683046432492
18.5,108.75,0,28.65294358599942
18.5,109.0,0,27.914039607072404
18.5,109.25,0,27.640979911193668
18.5,109.5,0,25.932110624244707
18.5,109.75,0,28.040333461256772
18.5,110.0,0,28.214933685570177
18.75,108.75,0,27.792353957784865
18.75,109.0,0,25.66334457240592
18.75,109.25,0,27.56723608567555
18.75,109.5,0,25.295549250566044
18.75,109.75,0,26.67147123891118
18.75,110.0,0,26.327175100777318
18.75,110.25,0,28.064567193867745
19.0,108.75,0,29.01240018644037
19.0,109.0,0,27.388537282870956
19.0,109.25,0,24.341967784452812
19.0,109.5,0,24.595829602821716
19.0,109.75,0,25.03210931027611
19.0,110.0,0,26.758363215285446
19.0,110.25,0,27.801714820441575
19.0,110.5,0,28.50394511554936
19.25,108.75,0,29.322717239346947
19.25,109.0,0,28.67868444196054
19.25,109.25,0,26.233468237658617
19.25,109.5,0,27.409568221225676
19.25,109.75,0,27.61981701344301
19.25,110.0,0,27.16727977317131
19.25,110.25,0,27.380906729452768
19.25,110.5,0,28.75178273931573
19.5,109.0,0,29.154133725015104
19.5,109.25,0,28.675529918821148
19.5,109.5,0,28.191730348033076
19.5,109.75,0,27.842729834933092
19.5,110.0,0,28.222175437706998
19.5,110.25,0,28.551699192085216
19.5,110.5,0,28.378804621041446
19.5,110.75,0,28.728788936415175
19.75,109.25,0,29.27433368547035
19.75,109.5,0,28.48030908610464
19.75,109.75,0,28.5044041561738
19.75,110.0,0,28.593380519535156
19.75,110.25,0,28.71684401346318
19.75,110.5,0,28.533142824765502
19.75,110.75,0,28.586301896443185
20.0,110.25,0,28.704157300931836
20.5,110.0,0,28.845517945543037
20.5,110.25,0,28.11067075698676
20.75,109.75,0,29.224135506595122
20.75,110.0,0,28.771501292507526
20.75,110.25,0,28.679841514799584
21.0,109.75,0,29.09012539262058
21.0,110.0,0,28.99175476350025
21.0,110.25,0,29.00777369669247
21.0,110.5,0,28.83453904873968
21.25,101.25,0,24.153526482057686
21.25,101.75,0,23.070512698176714
21.25,110.0,0,28.96141927240144
21.25,110.25,0,28.712598646647287
21.25,110.5,0,28.825814634603134
21.5,100.25,0,22.147981062822385
21.5,100.5,0,21.877580103519165
21.5,101.25,0,24.036993104589833
21.5,101.5,0,23.469904407941492
21.5,101.75,0,21.837574680133287
21.5,108.0,0,28.40951555237661
21.5,108.25,0,28.26900312776803
21.5,109.0,0,28.761841431618507
21.5,109.25,0,28.87102229202903
21.5,109.5,0,29.08344830408204
21.5,109.75,0,29.162853720686687
21.5,110.0,0,28.981358869120672
21.5,110.25,0,28.8656156782445
21.5,110.5,0,28.811922258829217
21.5,110.75,0,28.63765580116723
21.5,111.0,0,28.45303259742902
21.5,111.25,0,28.376608346163607
21.5,111.5,0,28.358305657189447
21.75,100.0,0,22.039836446828645
21.75,100.25,0,22.701529832762134
21.75,100.5,0,19.332671209387254
21.75,100.75,0,24.777160520558304
21.75,101.0,0,25.01538121233302
21.75,101.25,0,22.40982094090269
21.75,101.5,0,22.419606444259138
21.75,101.75,0,21.584394109276346
21.75,107.25,0,25.517531726509766
21.75,107.5,0,24.528874064591086
21.75,107.75,0,26.858173040605358
21.75,108.0,0,26.129950704059734
21.75,108.25,0,27.98577611700253
21.75,108.5,0,28.215300343786637
21.75,108.75,0,28.39222360994119
21.75,109.0,0,28.449111466227745
21.75,109.25,0,28.65008841818096
21.75,109.5,0,28.65108870849441
21.75,109.75,0,28.79633493241894
21.75,110.0,0,28.637995214554746
21.75,110.25,0,28.5621130096017
21.75,110.5,0,28.622213451474664
21.75,110.75,0,28.529988420297332
21.75,111.0,0,28.325312039161243
21.75,111.25,0,28.054546210643846
21.75,111.5,0,27.99465329858082
21.75,111.75,0,28.346113550795476
21.75,112.25,0,27.99516658716113
22.0,99.75,0,21.698774605134325
22.0,100.0,0,21.73387696245528
22.0,100.25,0,22.08637355802396
22.0,100.5,0,21.310308886708064
22.0,100.75,0,25.478707177953083
22.0,101.0,0,24.019578656493444
22.0,101.25,0,25.008177991112586
22.0,101.5,0,21.96280650819183
22.0,106.75,0,26.223687116500976
22.0,107.0,0,27.263112687994678
22.0,107.25,0,26.667001458443625
22.0,107.5,0,26.80131728043087
22.0,107.75,0,27.236972745088302
22.0,108.0,0,26.08199405743398
22.0,108.25,0,27.126529586233975
22.0,108.5,0,28.287185330381735
22.0,108.75,0,28.451922013363635
22.0,109.0,0,28.247988976597977
22.0,109.25,0,28.21452400607123
22.0,109.5,0,28.289940741199967
22.0,109.75,0,28.173823406218172
22.0,110.0,0,27.986675667659725
22.0,110.25,0,28.37417613549485
22.0,110.5,0,28.307185546395992
22.0,110.75,0,28.229206781409182
22.0,111.0,0,27.709708250684834
22.0,111.25,0,26.787604394459006
22.0,111.5,0,27.967183024603077
22.0,111.75,0,28.363629500850767
22.0,112.0,0,28.17336055257763
22.0,112.25,0,28.21507629574168
22.0,112.5,0,28.02437609070504
22.0,112.75,0,28.240208441835858
22.0,113.25,0,28.246002939111833
22.0,120.75,0,28.67094909196897
22.25,99.25,0,24.817728316120906
22.25,99.5,0,22.492685300945407
22.25,99.75,0,20.917626052270457
22.25,100.0,0,22.122162277616226
22.25,100.25,0,21.47811243406784
22.25,100.5,0,20.81915270425203
22.25,100.75,0,22.997037959289443
22.25,101.0,0,23.489320721134817
22.25,101.25,0,22.977325540323495
22.25,101.5,0,22.005071863418337
22.25,106.75,0,27.31642685852017
22.25,107.0,0,27.166160417762825
22.25,107.25,0,27.589867099660076
22.25,107.5,0,27.218578533720876
22.25,107.75,0,26.941422561516404
22.25,108.0,0,26.400523124299077
22.25,108.25,0,27.53692267255606
22.25,108.5,0,27.85215812868132
22.25,108.75,0,27.856344218018073
22.25,109.0,0,28.164174322830632
22.25,109.25,0,27.961556774207203
22.25,109.5,0,27.780965341767676
22.25,109.75,0,26.75084749150376
22.25,110.0,0,28.075002674973614
22.25,110.25,0,28.035124079566184
22.25,110.5,0,27.854250802349842
22.25,110.75,0,27.588173363489386
22.25,111.0,0,27.125781211846217
22.25,111.25,0,21.451950085494452
22.25,111.5,0,26.195833307035123
22.25,111.75,0,27.570789838054452
22.25,112.0,0,25.95019677482191
22.25,112.25,0,28.215330094228133
22.25,112.5,0,28.368338782722002
22.25,112.75,0,28.315938577176222
22.25,113.0,0,27.084395849098538
22.25,113.25,0,27.23986619244114
22.25,113.5,0,28.44814152189825
22.25,120.75,0,26.08274127809389
22.5,99.5,0,21.565284801749623
22.5,99.75,0,21.540789652931696
22.5,100.0,0,20.69892104167442
