longitude,latitude,spatial_ref,X7_forest_cover_2019,X8_wetland_cover_2019,X9_forest_change_rate_1990_2019
72.47499999,16.825000000000003,0,0.0,0.0,
72.47499999,17.075000000000003,0,0.0,0.0,
72.47499999,17.325000000000003,0,0.0,0.0,
72.47499999,17.575000000000003,0,0.0,0.0,
72.47499999,17.825000000000003,0,0.0,0.0,
72.47499999,18.075000000000003,0,0.0,0.0,
72.47499999,18.325000000000003,0,0.0,0.0,
72.47499999,18.575000000000003,0,0.0,0.0,
72.47499999,18.825000000000003,0,0.0,0.0,
72.47499999,19.075000000000003,0,0.0,0.0,
72.47499999,19.325000000000003,0,0.0,0.0,
72.47499999,19.575000000000003,0,0.0,0.0,
72.47499999,19.825000000000003,0,0.0,0.0,
72.47499999,20.075000000000003,0,0.0,0.0,
72.47499999,20.325000000000003,0,0.0,0.0,
72.47499999,20.575000000000003,0,0.0,0.0,
72.47499999,20.825000000000003,0,0.0,0.0,
72.47499999,21.075000000000003,0,0.0,0.0,
72.47499999,21.325000000000003,0,0.0,0.0,
72.47499999,21.575000000000003,0,0.0,0.0,
72.47499999,21.825000000000003,0,0.0,0.0,
72.47499999,22.075000000000003,0,0.0,0.0,
72.47499999,22.325000000000003,0,0.0,0.0,
72.47499999,22.575000000000003,0,0.0,0.0,
72.47499999,22.825000000000003,0,0.0,0.0,
72.47499999,23.075000000000003,0,0.0,0.0,
72.47499999,23.325000000000003,0,0.0,0.0,
72.47499999,23.575000000000003,0,0.0,0.0,
72.47499999,23.825000000000003,0,0.0,0.0,
72.47499999,24.075000000000003,0,0.0,0.0,
72.47499999,24.325000000000003,0,0.0,0.0,
72.47499999,24.575000000000003,0,0.0,0.0,
72.47499999,24.825000000000003,0,0.0,0.0,
72.47499999,25.075000000000003,0,0.0,0.0,
72.47499999,25.325000000000003,0,0.0,0.0,
72.47499999,25.575000000000003,0,0.0,0.0,
72.47499999,25.825000000000003,0,0.0,0.0,
72.47499999,26.075000000000003,0,0.0,0.0,
72.47499999,26.325000000000003,0,0.0,0.0,
72.47499999,26.575000000000003,0,0.0,0.0,
