longitude,latitude,Y1_heavy_rain_prob,Y2_heavy_rain_intensity,X6_mean_annual_precip
72.375,23.375,0.0,,-36489.316
72.375,23.625,0.0,,-36489.316
72.375,23.875,0.0,,-36489.316
72.375,24.125,0.0,,-36489.316
72.375,24.375,0.0,,-36489.316
72.375,24.625,0.0,,-36489.316
72.375,24.875,0.0,,-36489.316
72.375,25.125,0.0,,-36489.316
72.375,25.375,0.0,,-36489.316
72.375,25.625,0.0,,-36489.316
72.375,25.875,0.0,,-36489.316
72.375,26.125,0.0,,-36489.316
72.375,26.375,0.0,,-36489.316
72.375,26.625,0.0,,-36489.316
72.375,26.875,0.0,,-36489.316
72.375,27.125,0.0,,-36489.316
72.375,27.375,0.0,,-36489.316
72.375,27.625,0.0,,-36489.316
72.375,27.875,0.0,,-36489.316
72.375,28.125,0.0,,-36489.316
72.375,28.375,0.0,,-36489.316
72.375,28.625,0.0,,-36489.316
72.375,28.875,0.0,,-36489.316
72.375,29.125,0.0,,-36489.316
72.375,29.375,0.0,,-36489.316
72.375,29.625,0.0,,-36489.316
72.375,29.875,0.0,,-36489.316
72.375,30.125,0.0,,-36489.316
72.375,30.375,0.0,,-36489.316
72.375,30.625,0.0,,-36489.316
72.375,30.875,0.0,,-36489.316
72.375,31.125,0.0,,-36489.316
72.375,31.375,0.0,,-36489.316
72.375,31.625,0.0,,-36489.316
72.375,31.875,0.0,,-36489.316
72.375,32.125,0.0,,-36489.316
72.375,32.375,0.0,,-36489.316
72.375,32.625,0.0,,-36489.316
72.375,32.875,0.0,,-36489.316
72.375,33.125,0.0,,-36489.316
72.375,33.375,0.0,,-36489.316
72.375,33.625,0.0,,-36489.316
72.375,33.875,0.0,,-36489.316
72.375,34.125,0.0,,-36489.316
72.375,34.375,0.0,,-36489.316
72.375,34.625,0.0,,-36489.316
72.375,34.875,0.0,,-36489.316
72.375,35.125,0.0,,-36489.316
72.375,35.375,0.0,,-36489.316
72.375,35.625,0.0,,-36489.316
72.375,35.875,0.0,,-36489.316
72.375,36.125,0.0,,-36489.316
72.375,36.375,0.0,,-36489.316
72.375,36.625,0.0,,-36489.316
72.375,36.875,0.0,,-36489.316
72.375,37.125,0.0,,-36489.316
72.375,37.375,0.0,,-36489.316
72.375,37.625,0.0,,-36489.316
72.375,37.875,0.0,,-36489.316
72.375,38.125,0.0,,-36489.316
72.375,38.375,0.0,,-36489.316
72.375,38.625,0.0,,-36489.316
72.375,38.875,0.0,,-36489.316
72.375,39.125,0.0,,-36489.316
72.375,39.375,0.0,,-36489.316
72.375,39.625,0.0,,-36489.316
72.375,39.875,0.0,,-36489.316
72.375,40.125,0.0,,-36489.316
72.375,40.375,0.0,,-36489.316
72.375,40.625,0.0,,-36489.316
72.375,40.875,0.0,,-36489.316
72.375,41.125,0.0,,-36489.316
72.375,41.375,0.0,,-36489.316
72.375,41.625,0.0,,-36489.316
72.375,41.875,0.0,,-36489.316
72.375,42.125,0.0,,-36489.316
72.375,42.375,0.0,,-36489.316
72.375,42.625,0.0,,-36489.316
72.375,42.875,0.0,,-36489.316
72.375,43.125,0.0,,-36489.316
