,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
const,-7.729824382250784,0.5189882503466406,-14.894025783990118,3.6039947540287933e-50,-8.747022661329657,-6.71262610317191
X1_mean_elevation,-1.1101047923621534,0.9527409530604388,-1.1651695970412768,0.24395034960001794,-2.9774427469569797,0.7572331622326729
X2_relief,0.25029747546758496,0.35816337302915485,0.6988360461057265,0.4846544988525069,-0.45168983625094306,0.952284787186113
X3_mean_slope,-0.0018166175178574023,0.20922438662389675,-0.008682628001309268,0.9930723522142888,-0.41188887998817886,0.4082556449524641
X5_mean_summer_temp,0.558880833062501,0.7164495021980107,0.7800700975405783,0.43534961618191426,-0.8453343879872504,1.9630960541122524
X6_mean_annual_precip,2.6335953306490865,0.6776042288808913,3.8866276484115887,0.00010164648690031291,1.3055154462705039,3.961675215027669
